No.,Time,Source,Destination,Protocol,Length,Info
1933,6.282087,10.1.10.11,104.198.218.190,TLSv1.2,434,Client Hello
1943,6.322755,10.1.10.11,172.217.6.238,TLSv1.2,531,Client Hello
1947,6.331073,104.198.218.190,10.1.10.11,TLSv1.2,1474,"Server Hello, Certificate"
1948,6.331078,104.198.218.190,10.1.10.11,TLSv1.2,222,"Server Key Exchange, Server Hello Done"
1951,6.33543,10.1.10.11,172.217.6.238,TLSv1.2,531,Client Hello
1954,6.342104,172.217.6.238,10.1.10.11,TLSv1.2,178,"Server Hello, Change Cipher Spec, Hello Request, Hello Request"
1956,6.345925,10.1.10.11,104.198.218.190,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
1957,6.346492,10.1.10.11,104.198.218.190,TLSv1.2,441,Application Data
1958,6.348585,10.1.10.11,172.217.6.238,TLSv1.2,105,"Change Cipher Spec, Hello Request, Hello Request"
1959,6.351369,10.1.10.11,172.217.6.238,TLSv1.2,141,Application Data
1960,6.35193,10.1.10.11,172.217.6.238,TLSv1.2,737,Application Data
1963,6.356648,172.217.6.238,10.1.10.11,TLSv1.2,178,"Server Hello, Change Cipher Spec, Hello Request, Hello Request"
1966,6.358106,10.1.10.11,172.217.6.238,TLSv1.2,105,"Change Cipher Spec, Hello Request, Hello Request"
1968,6.361005,10.1.10.11,172.217.6.238,TLSv1.2,141,Application Data
1971,6.374182,172.217.6.238,10.1.10.11,TLSv1.2,123,Application Data
1972,6.374185,172.217.6.238,10.1.10.11,TLSv1.2,92,Application Data
1973,6.374185,172.217.6.238,10.1.10.11,TLSv1.2,300,Application Data
1974,6.374187,172.217.6.238,10.1.10.11,TLSv1.2,127,Application Data
1975,6.374188,172.217.6.238,10.1.10.11,TLSv1.2,100,Application Data
1977,6.374918,10.1.10.11,172.217.6.238,TLSv1.2,92,Application Data
1978,6.375088,10.1.10.11,172.217.6.238,TLSv1.2,100,Application Data
1980,6.382661,172.217.6.238,10.1.10.11,TLSv1.2,123,Application Data
1983,6.387264,10.1.10.11,172.217.6.238,TLSv1.2,92,Application Data
1984,6.391125,10.1.10.11,172.217.6.238,TLSv1.2,568,Application Data
1986,6.397254,104.198.218.190,10.1.10.11,TLSv1.2,296,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
1989,6.407203,172.217.6.238,10.1.10.11,TLSv1.2,92,Application Data
1991,6.409697,172.217.6.238,10.1.10.11,TLSv1.2,105,Application Data
1992,6.409699,172.217.6.238,10.1.10.11,TLSv1.2,127,Application Data
1993,6.4097,172.217.6.238,10.1.10.11,TLSv1.2,100,Application Data
1995,6.410251,10.1.10.11,172.217.6.238,TLSv1.2,100,Application Data
2000,6.442248,104.198.218.190,10.1.10.11,TLSv1.2,212,Application Data
2011,6.488398,10.1.10.11,104.198.218.190,TLSv1.2,142,Application Data
